"","Var1","Freq"
"1","AAK1",0
"2","AATK",1
"3","ABCA3",0
"4","ABCC3",0
"5","ABCC4",0
"6","ABI1",0
"7","ABL1",1
"8","ABL2",1
"9","ACACA",0
"10","ACACB",0
"11","ACOXL",0
"12","ACSL6",0
"13","ACVR1",0
"14","ACVR1B",1
"15","ACVR1C",2
"16","ACVR2A",0
"17","ACVR2B",0
"18","ACVRL1",2
"19","ADAM10",0
"20","ADAM12",0
"21","ADAM17",0
"22","ADAM18",0
"23","ADAM22",0
"24","ADAM28",0
"25","ADAM29",0
"26","ADAM32",0
"27","ADAM6",0
"28","ADAMTS18",0
"29","ADAMTS19",0
"30","ADAMTS2",0
"31","ADAMTS20",0
"32","ADAMTSL3",0
"33","ADARB2",0
"34","ADCK1",0
"35","ADCK2",0
"36","ADCK4",0
"37","ADCK5",0
"38","ADHFE1",0
"39","ADK",0
"40","ADRBK1",1
"41","ADRBK2",1
"42","AFF1",0
"43","AFF3",0
"44","AFF4",0
"45","AGAP2",0
"46","AIFM1",0
"47","AIFM3",0
"48","AIM1",0
"49","AKAP12",0
"50","AKAP4",0
"51","AKAP6",0
"52","AKAP9",0
"53","AKT1",2
"54","AKT2",2
"55","AKT3",0
"56","ALDH7A1",0
"57","ALK",1
"58","ALPK1",0
"59","ALPK2",0
"60","ALPK3",0
"61","ALS2",0
"62","AMHR2",0
"63","AMZ2",0
"64","ANAPC5",0
"65","ANGPTL4",0
"66","ANKK1",0
"67","APAF1",0
"68","APBB1IP",0
"69","APC",0
"70","AR",0
"71","ARAF",1
"72","ARFGEF1",0
"73","ARHGAP26",0
"74","ARHGAP29",0
"75","ARHGDIB",0
"76","ARHGEF10",0
"77","ARHGEF12",0
"78","ARHGEF7",0
"79","ARID1A",0
"80","ARNT",0
"81","ASH2L",0
"82","ASPH",0
"83","ASPSCR1",0
"84","ASTN1",0
"85","ATF1",0
"86","ATF2",0
"87","ATG9B",0
"88","ATIC",0
"89","ATM",0
"90","ATP10A",0
"91","ATP11A",0
"92","ATP13A5",0
"93","ATP5S",0
"94","ATP8B1",0
"95","ATR",0
"96","ATRX",0
"97","AURKA",1
"98","AURKB",0
"99","AURKC",3
"100","AXIN1",0
"101","AXIN2",0
"102","AXL",0
"103","B3GALT6",0
"104","BAD",0
"105","BAG4",0
"106","BAI1",0
"107","BAI3",0
"108","BAK1",0
"109","BAP1",0
"110","BAT3",0
"111","BAX",0
"112","BCAR1",0
"113","BCKDK",0
"114","BCL10",0
"115","BCL11A",0
"116","BCL11B",0
"117","BCL2",0
"118","BCL2A1",0
"119","BCL2L1",0
"120","BCL2L11",0
"121","BCL2L2",0
"122","BCL3",0
"123","BCL6",0
"124","BCL7A",0
"125","BCL9",0
"126","BCR",0
"127","BGLAP",0
"128","BID",0
"129","BIK",0
"130","BIRC2",0
"131","BIRC3",0
"132","BIRC5",0
"133","BIRC6",0
"134","BLK",2
"135","BLM",0
"136","BLNK",0
"137","BMF",0
"138","BMI1",0
"139","BMP2K",1
"140","BMP4",0
"141","BMPR1A",0
"142","BMPR1B",1
"143","BMPR2",1
"144","BMX",1
"145","BNIP3",0
"146","BOK",0
