"","Var1","Freq"
"1","AAK1",0
"2","AATK",1
"3","ABL1",2
"4","ABL2",4
"5","ACVR1",1
"6","ACVR1B",6
"7","ACVR1C",1
"8","ACVR2A",3
"9","ACVR2B",0
"10","ACVRL1",4
"11","ADRBK1",3
"12","ADRBK2",1
"13","AKT1",1
"14","AKT2",3
"15","AKT3",0
"16","ALK",1
"17","AMHR2",3
"18","ANKK1",0
"19","ARAF",0
"20","ATM",0
"21","ATR",0
"22","AURKA",1
"23","AURKB",1
"24","AURKC",0
"25","AXL",2
"26","BLK",0
"27","BMP2K",0
"28","BMPR1A",1
"29","BMPR1B",1
"30","BMPR2",1
"31","BMX",1
"32","BRAF",26
"33","BRSK1",4
"34","BRSK2",2
"35","BTK",2
"36","BUB1",0
"37","BUB1B",0
"38","CAMK1",0
"39","CAMK1D",2
"40","CAMK1G",1
"41","CAMK2A",3
"42","CAMK2B",1
"43","CAMK2D",2
"44","CAMK2G",3
"45","CAMK4",4
"46","CAMKK1",1
"47","CAMKK2",1
"48","CDC42BPA",2
"49","CDC42BPB",0
"50","CDC42BPG",1
"51","CDC7",0
"52","CDK1",0
"53","CDK10",3
"54","CDK11A",0
"55","CDK12",2
"56","CDK13",3
"57","CDK14",0
"58","CDK15",4
"59","CDK16",0
"60","CDK17",3
"61","CDK18",2
"62","CDK19",1
"63","CDK2",1
"64","CDK20",1
"65","CDK3",0
"66","CDK4",2
"67","CDK5",2
"68","CDK6",0
"69","CDK7",2
"70","CDK8",4
"71","CDK9",0
"72","CDKL1",2
"73","CDKL2",1
"74","CDKL3",0
"75","CDKL4",2
"76","CDKL5",1
"77","CHEK1",2
"78","CHEK2",6
"79","CHUK",1
"80","CIT",0
"81","CLK1",2
"82","CLK2",0
"83","CLK3",0
"84","CLK4",0
"85","CSF1R",0
"86","CSK",0
"87","CSNK1A1",2
"88","CSNK1A1L",1
"89","CSNK1D",2
"90","CSNK1E",6
"91","CSNK1G1",1
"92","CSNK1G2",1
"93","CSNK1G3",4
"94","CSNK2A1",3
"95","CSNK2A2",2
"96","DAPK1",2
"97","DAPK2",2
"98","DAPK3",1
"99","DCLK1",1
"100","DCLK2",2
"101","DCLK3",1
"102","DDR1",3
"103","DDR2",1
"104","DMPK",3
"105","DSTYK",0
"106","DYRK1A",3
"107","DYRK1B",1
"108","DYRK2",0
"109","DYRK3",7
"110","DYRK4",1
"111","EGFR",6
"112","EIF2AK1",1
"113","EIF2AK2",0
"114","EIF2AK3",2
"115","EIF2AK4",1
"116","EPHA1",1
"117","EPHA2",2
"118","EPHA3",4
"119","EPHA4",3
"120","EPHA5",3
"121","EPHA6",2
"122","EPHA7",4
"123","EPHA8",0
"124","EPHB1",11
"125","EPHB2",2
"126","EPHB3",1
"127","EPHB4",3
"128","ERBB2",2
"129","ERBB4",4
"130","ERN1",1
"131","ERN2",7
"132","FER",4
"133","FES",3
"134","FGFR1",4
"135","FGFR2",3
"136","FGFR3",2
"137","FGFR4",1
"138","FGR",1
"139","FLT1",2
"140","FLT3",1
"141","FLT4",3
"142","FRK",2
"143","FYN",1
"144","GAK",1
"145","GRK1",0
"146","GRK4",1
